Order ID,Order Date,Customer ID,Customer Name,Region,Product Category,Product Name,Quantity Sold,Unit Price,Total Sales,Profit Margin (%),Profit Amount,Payment Method,Order Status,Customer Segment,Month,Year,Day
ORD0001,2024-02-17,CUST372,Customer 46,East,Furniture,Table,1,402.93,402.93,17.48,70.43,PayPal,Canceled,Wholesale,Feb,2024,17
ORD0002,2024-02-22,CUST962,Customer 94,North,Electronics,Laptop,5,399.1,1995.5,15.61,311.5,Credit Card,Pending,Corporate,Feb,2024,22
ORD0003,2024-01-12,CUST233,Customer 20,East,Electronics,Smartphone,6,155.03,930.18,26.69,248.27,Bank Transfer,Pending,Retail,Jan,2024,12
ORD0004,2024-02-25,CUST927,Customer 117,North,Groceries,Eggs,2,195.79,391.58,5.4,21.15,Bank Transfer,Completed,Wholesale,Feb,2024,25
ORD0005,2024-01-24,CUST950,Customer 12,East,Groceries,Eggs,1,63.77,63.77,25.53,16.28,Credit Card,Canceled,Corporate,Jan,2024,24
ORD0006,2024-02-19,CUST909,Customer 148,West,Clothing,Shirt,3,144.67,434.01,22.13,96.05,PayPal,Pending,Wholesale,Feb,2024,19
ORD0007,2024-01-04,CUST153,Customer 70,West,Clothing,Jeans,7,299.35,2095.45,15.63,327.52,PayPal,Completed,Corporate,Jan,2024,4
ORD0008,2024-02-10,CUST896,Customer 69,West,Groceries,Eggs,10,138.13,1381.3,16.66,230.12,Cash,Completed,Wholesale,Feb,2024,10
ORD0009,2024-02-23,CUST689,Customer 197,North,Groceries,Milk,2,371.12,742.24,22.09,163.96,Cash,Canceled,Wholesale,Feb,2024,23
ORD0010,2024-01-12,CUST678,Customer 82,North,Electronics,Headphones,4,378.32,1513.28,14.71,222.6,Cash,Completed,Wholesale,Jan,2024,12
ORD0011,2024-01-31,CUST866,Customer 1,West,Electronics,Tablet,7,240.82,1685.74,10.77,181.55,Credit Card,Canceled,Corporate,Jan,2024,31
ORD0012,2024-01-14,CUST554,Customer 161,East,Clothing,Jeans,4,226.01,904.04,14.26,128.92,Cash,Canceled,Corporate,Jan,2024,14
ORD0013,2024-01-18,CUST301,Customer 68,West,Furniture,Sofa,6,298.23,1789.38,16.01,286.48,Bank Transfer,Pending,Wholesale,Jan,2024,18
ORD0014,2024-02-23,CUST884,Customer 92,West,Electronics,Smartphone,1,366.51,366.51,21.43,78.54,PayPal,Canceled,Retail,Feb,2024,23
ORD0015,2024-02-25,CUST554,Customer 114,North,Clothing,Shirt,6,175.33,1051.98,6.07,63.86,Bank Transfer,Canceled,Wholesale,Feb,2024,25
ORD0016,2024-01-10,CUST986,Customer 146,South,Furniture,Table,2,419.97,839.94,11.6,97.43,Bank Transfer,Pending,Wholesale,Jan,2024,10
ORD0017,2024-01-23,CUST654,Customer 194,North,Furniture,Chair,2,496.88,993.76,22.36,222.2,Credit Card,Completed,Corporate,Jan,2024,23
ORD0018,2024-01-23,CUST455,Customer 21,West,Clothing,Jeans,7,337.17,2360.19,6.63,156.48,Bank Transfer,Canceled,Corporate,Jan,2024,23
ORD0019,2024-01-05,CUST699,Customer 77,West,Furniture,Sofa,7,71.21,498.47,15.63,77.91,Credit Card,Pending,Retail,Jan,2024,5
ORD0020,2024-02-18,CUST428,Customer 164,East,Furniture,Bed,10,17.53,175.3,21.06,36.92,Cash,Canceled,Corporate,Feb,2024,18
ORD0021,2024-02-07,CUST206,Customer 158,South,Clothing,Jacket,6,192.34,1154.04,10.55,121.75,Credit Card,Pending,Corporate,Feb,2024,7
ORD0022,2024-01-17,CUST318,Customer 199,East,Electronics,Headphones,3,299.2,897.6,25.22,226.37,Cash,Completed,Retail,Jan,2024,17
ORD0023,2024-02-04,CUST718,Customer 198,North,Clothing,Jeans,2,257.88,515.76,15.57,80.3,Bank Transfer,Completed,Corporate,Feb,2024,4
ORD0024,2024-01-02,CUST808,Customer 173,South,Groceries,Cereal,3,166.86,500.58,21.75,108.88,PayPal,Pending,Retail,Jan,2024,2
ORD0025,2024-01-14,CUST253,Customer 78,South,Groceries,Bread,8,177.17,1417.36,8.63,122.32,Credit Card,Completed,Retail,Jan,2024,14
ORD0026,2024-01-15,CUST976,Customer 195,East,Furniture,Chair,5,314.03,1570.15,5.3,83.22,Bank Transfer,Canceled,Wholesale,Jan,2024,15
ORD0027,2024-01-12,CUST893,Customer 183,South,Furniture,Bed,3,190.31,570.93,27.37,156.26,PayPal,Pending,Retail,Jan,2024,12
ORD0028,2024-02-24,CUST389,Customer 189,South,Groceries,Milk,5,462.55,2312.75,20.57,475.73,Bank Transfer,Canceled,Retail,Feb,2024,24
ORD0029,2024-01-19,CUST578,Customer 100,South,Groceries,Bread,1,339.91,339.91,6.3,21.41,Credit Card,Canceled,Corporate,Jan,2024,19
ORD0030,2024-02-03,CUST170,Customer 48,South,Furniture,Bed,4,67.91,271.64,12.52,34.01,Cash,Canceled,Corporate,Feb,2024,3
ORD0031,2024-01-03,CUST413,Customer 188,West,Clothing,Sweater,9,99.44,894.96,21.24,190.09,Cash,Pending,Wholesale,Jan,2024,3
ORD0032,2024-01-15,CUST837,Customer 150,South,Electronics,Smartphone,8,21.51,172.08,29.51,50.78,Credit Card,Canceled,Corporate,Jan,2024,15
ORD0033,2024-02-29,CUST339,Customer 121,North,Electronics,Laptop,5,401.31,2006.55,12.86,258.04,Bank Transfer,Canceled,Corporate,Feb,2024,29
ORD0034,2024-02-21,CUST856,Customer 3,South,Groceries,Cereal,7,252.44,1767.08,15.95,281.85,PayPal,Canceled,Wholesale,Feb,2024,21
ORD0035,2024-01-07,CUST708,Customer 133,South,Electronics,Laptop,9,375.74,3381.66,25.25,853.87,Cash,Pending,Corporate,Jan,2024,7
ORD0036,2024-01-07,CUST199,Customer 138,South,Electronics,Laptop,8,259.09,2072.72,25.45,527.51,Bank Transfer,Canceled,Wholesale,Jan,2024,7
ORD0037,2024-02-27,CUST131,Customer 87,East,Clothing,Sweater,9,420.1,3780.9,11.53,435.94,Cash,Completed,Retail,Feb,2024,27
ORD0038,2024-01-08,CUST241,Customer 43,North,Electronics,Laptop,1,366.03,366.03,23.88,87.41,Cash,Canceled,Corporate,Jan,2024,8
ORD0039,2024-01-07,CUST146,Customer 27,East,Groceries,Milk,7,346.17,2423.19,14.57,353.06,Bank Transfer,Canceled,Retail,Jan,2024,7
ORD0040,2024-01-22,CUST672,Customer 111,South,Groceries,Cereal,4,178.79,715.16,21.91,156.69,Cash,Completed,Wholesale,Jan,2024,22
ORD0041,2024-01-28,CUST711,Customer 29,East,Furniture,Chair,3,278.13,834.39,10.64,88.78,Cash,Completed,Corporate,Jan,2024,28
ORD0042,2024-02-09,CUST236,Customer 13,South,Furniture,Table,8,490.48,3923.84,27.85,1092.79,Bank Transfer,Pending,Corporate,Feb,2024,9
ORD0043,2024-01-28,CUST700,Customer 134,West,Clothing,Jacket,1,36.89,36.89,27.73,10.23,Cash,Completed,Corporate,Jan,2024,28
ORD0044,2024-01-13,CUST879,Customer 91,East,Electronics,Headphones,7,52.9,370.3,16.25,60.17,Bank Transfer,Pending,Wholesale,Jan,2024,13
ORD0045,2024-01-22,CUST352,Customer 178,West,Furniture,Table,7,185.2,1296.4,16.78,217.54,Cash,Canceled,Wholesale,Jan,2024,22
ORD0046,2024-01-19,CUST843,Customer 7,South,Furniture,Sofa,5,254.69,1273.45,18.9,240.68,Credit Card,Canceled,Wholesale,Jan,2024,19
ORD0047,2024-02-03,CUST348,Customer 155,North,Groceries,Bread,8,157.08,1256.64,28.66,360.15,Cash,Pending,Wholesale,Feb,2024,3
ORD0048,2024-02-28,CUST636,Customer 110,East,Clothing,Shirt,4,161.46,645.84,29.49,190.46,PayPal,Completed,Retail,Feb,2024,28
ORD0049,2024-02-29,CUST845,Customer 168,East,Electronics,Tablet,8,15.81,126.48,8.78,11.1,PayPal,Completed,Wholesale,Feb,2024,29
ORD0050,2024-02-08,CUST673,Customer 14,East,Furniture,Bed,1,215.67,215.67,17.27,37.25,Cash,Canceled,Wholesale,Feb,2024,8
ORD0051,2024-01-15,CUST151,Customer 148,East,Groceries,Eggs,8,464.46,3715.68,16.8,624.23,Cash,Completed,Corporate,Jan,2024,15
ORD0052,2024-01-24,CUST215,Customer 177,South,Electronics,Smartphone,7,245.19,1716.33,23.12,396.82,PayPal,Canceled,Retail,Jan,2024,24
ORD0053,2024-02-17,CUST690,Customer 33,East,Electronics,Headphones,3,130.49,391.47,6.07,23.76,Cash,Canceled,Retail,Feb,2024,17
ORD0054,2024-02-11,CUST941,Customer 26,West,Electronics,Headphones,10,83.43,834.3,10.44,87.1,Cash,Pending,Retail,Feb,2024,11
ORD0055,2024-01-08,CUST774,Customer 56,South,Clothing,Sweater,5,455.08,2275.4,7.02,159.73,Credit Card,Canceled,Wholesale,Jan,2024,8
ORD0056,2024-02-21,CUST969,Customer 166,East,Groceries,Milk,10,284.98,2849.8,13.4,381.87,PayPal,Completed,Wholesale,Feb,2024,21
ORD0057,2024-02-02,CUST298,Customer 189,North,Furniture,Sofa,8,144.99,1159.92,22.28,258.43,Bank Transfer,Pending,Retail,Feb,2024,2
ORD0058,2024-01-15,CUST889,Customer 191,West,Groceries,Bread,7,28.85,201.95,25.83,52.16,PayPal,Pending,Corporate,Jan,2024,15
ORD0059,2024-01-13,CUST758,Customer 54,East,Clothing,Jacket,7,491.78,3442.46,16.13,555.27,PayPal,Canceled,Retail,Jan,2024,13
ORD0060,2024-02-01,CUST535,Customer 6,North,Electronics,Smartphone,10,390.37,3903.7,29.26,1142.22,Cash,Completed,Corporate,Feb,2024,1
ORD0061,2024-01-30,CUST537,Customer 117,North,Electronics,Tablet,4,254.8,1019.2,18.32,186.72,Bank Transfer,Completed,Wholesale,Jan,2024,30
ORD0062,2024-01-30,CUST322,Customer 176,South,Clothing,Sweater,5,196.02,980.1,15.65,153.39,Bank Transfer,Canceled,Corporate,Jan,2024,30
ORD0063,2024-01-28,CUST810,Customer 162,South,Furniture,Table,3,289.09,867.27,24.85,215.52,PayPal,Canceled,Corporate,Jan,2024,28
ORD0064,2024-01-03,CUST649,Customer 75,West,Groceries,Bread,7,458.33,3208.31,25.99,833.84,Bank Transfer,Canceled,Corporate,Jan,2024,3
ORD0065,2024-02-05,CUST464,Customer 164,North,Electronics,Laptop,6,87.82,526.92,27.07,142.64,Cash,Pending,Wholesale,Feb,2024,5
ORD0066,2024-01-15,CUST838,Customer 1,West,Groceries,Milk,6,55.4,332.4,19.9,66.15,Bank Transfer,Canceled,Corporate,Jan,2024,15
ORD0067,2024-01-23,CUST189,Customer 72,East,Electronics,Headphones,9,472.53,4252.77,20.97,891.81,Bank Transfer,Completed,Wholesale,Jan,2024,23
ORD0068,2024-02-13,CUST860,Customer 8,East,Electronics,Smartphone,4,258.49,1033.96,14.32,148.06,PayPal,Pending,Retail,Feb,2024,13
ORD0069,2024-01-01,CUST152,Customer 40,North,Groceries,Cereal,9,94.89,854.01,22.51,192.24,Cash,Canceled,Corporate,Jan,2024,1
ORD0070,2024-01-29,CUST854,Customer 108,West,Furniture,Bed,4,474.04,1896.16,8.91,168.95,Bank Transfer,Canceled,Retail,Jan,2024,29
ORD0071,2024-02-21,CUST707,Customer 41,West,Furniture,Chair,9,151.64,1364.76,19.98,272.68,PayPal,Canceled,Retail,Feb,2024,21
ORD0072,2024-01-22,CUST676,Customer 126,East,Furniture,Bed,3,256.79,770.37,16.57,127.65,PayPal,Canceled,Retail,Jan,2024,22
ORD0073,2024-02-27,CUST409,Customer 1,West,Furniture,Bed,1,251.38,251.38,7.22,18.15,PayPal,Pending,Wholesale,Feb,2024,27
ORD0074,2024-02-15,CUST198,Customer 27,East,Electronics,Headphones,7,157.32,1101.24,28.38,312.53,PayPal,Completed,Retail,Feb,2024,15
ORD0075,2024-01-21,CUST774,Customer 37,East,Electronics,Laptop,5,38.51,192.55,8.97,17.27,Cash,Completed,Corporate,Jan,2024,21
ORD0076,2024-01-27,CUST511,Customer 17,North,Groceries,Eggs,8,488.61,3908.88,8.81,344.37,PayPal,Canceled,Retail,Jan,2024,27
ORD0077,2024-01-26,CUST998,Customer 178,West,Furniture,Bed,4,95.2,380.8,5.43,20.68,PayPal,Canceled,Corporate,Jan,2024,26
ORD0078,2024-01-18,CUST718,Customer 145,East,Clothing,Shirt,9,93.27,839.43,19.36,162.51,Cash,Canceled,Wholesale,Jan,2024,18
ORD0079,2024-02-27,CUST792,Customer 17,South,Furniture,Table,4,336.8,1347.2,20.73,279.27,Bank Transfer,Canceled,Corporate,Feb,2024,27
ORD0080,2024-02-09,CUST407,Customer 125,East,Furniture,Chair,9,110.95,998.55,29.76,297.17,PayPal,Canceled,Corporate,Feb,2024,9
ORD0081,2024-01-24,CUST984,Customer 68,East,Groceries,Bread,10,105.52,1055.2,18.61,196.37,Cash,Pending,Corporate,Jan,2024,24
ORD0082,2024-02-06,CUST131,Customer 34,South,Furniture,Bed,3,130.1,390.3,7.04,27.48,Cash,Pending,Corporate,Feb,2024,6
ORD0083,2024-02-21,CUST258,Customer 20,South,Electronics,Tablet,7,284.62,1992.34,27.43,546.5,PayPal,Pending,Corporate,Feb,2024,21
ORD0084,2024-02-21,CUST262,Customer 8,East,Groceries,Cereal,7,100.28,701.96,26.98,189.39,Bank Transfer,Canceled,Retail,Feb,2024,21
ORD0085,2024-02-08,CUST496,Customer 42,South,Groceries,Eggs,8,234.39,1875.12,8.08,151.51,Bank Transfer,Pending,Corporate,Feb,2024,8
ORD0086,2024-01-02,CUST368,Customer 166,East,Electronics,Tablet,1,443.83,443.83,7.88,34.97,Bank Transfer,Pending,Corporate,Jan,2024,2
ORD0087,2024-01-17,CUST784,Customer 123,East,Clothing,Jeans,10,147.28,1472.8,26.89,396.04,Credit Card,Canceled,Retail,Jan,2024,17
ORD0088,2024-01-10,CUST125,Customer 19,South,Clothing,Shirt,3,168.8,506.4,29.02,146.96,Cash,Pending,Retail,Jan,2024,10
ORD0089,2024-02-02,CUST789,Customer 98,South,Furniture,Sofa,6,157.39,944.34,12.54,118.42,PayPal,Completed,Wholesale,Feb,2024,2
ORD0090,2024-02-11,CUST531,Customer 129,West,Groceries,Milk,5,348.91,1744.55,29.66,517.43,Cash,Completed,Retail,Feb,2024,11
ORD0091,2024-02-12,CUST576,Customer 13,East,Furniture,Bed,8,462.35,3698.8,27.24,1007.55,PayPal,Completed,Retail,Feb,2024,12
ORD0092,2024-01-02,CUST454,Customer 98,North,Electronics,Smartphone,3,494.97,1484.91,28.97,430.18,Bank Transfer,Completed,Corporate,Jan,2024,2
ORD0093,2024-02-16,CUST291,Customer 130,North,Clothing,Sweater,4,141.99,567.96,29.72,168.8,PayPal,Pending,Corporate,Feb,2024,16
ORD0094,2024-02-11,CUST560,Customer 125,South,Electronics,Tablet,8,487.31,3898.48,28.92,1127.44,Credit Card,Pending,Retail,Feb,2024,11
ORD0095,2024-01-27,CUST984,Customer 84,North,Furniture,Bed,8,374.12,2992.96,7.05,211.0,Cash,Canceled,Corporate,Jan,2024,27
ORD0096,2024-02-05,CUST621,Customer 152,South,Groceries,Bread,2,58.33,116.66,21.45,25.02,Credit Card,Canceled,Wholesale,Feb,2024,5
ORD0097,2024-02-14,CUST493,Customer 46,East,Groceries,Bread,1,409.5,409.5,11.66,47.75,PayPal,Canceled,Corporate,Feb,2024,14
ORD0098,2024-01-14,CUST495,Customer 129,West,Furniture,Table,8,243.57,1948.56,24.98,486.75,Cash,Completed,Wholesale,Jan,2024,14
ORD0099,2024-02-28,CUST198,Customer 4,West,Electronics,Headphones,3,434.05,1302.15,26.94,350.8,PayPal,Pending,Corporate,Feb,2024,28
ORD0100,2024-02-05,CUST684,Customer 130,South,Furniture,Table,7,167.34,1171.38,29.91,350.36,PayPal,Completed,Corporate,Feb,2024,5
ORD0101,2024-01-24,CUST342,Customer 38,West,Groceries,Eggs,9,74.13,667.17,19.11,127.5,PayPal,Completed,Corporate,Jan,2024,24
ORD0102,2024-01-25,CUST110,Customer 95,North,Clothing,Jeans,8,234.42,1875.36,21.45,402.26,PayPal,Canceled,Corporate,Jan,2024,25
ORD0103,2024-01-28,CUST228,Customer 8,South,Furniture,Chair,4,48.19,192.76,18.54,35.74,Credit Card,Canceled,Wholesale,Jan,2024,28
ORD0104,2024-02-24,CUST958,Customer 18,West,Clothing,Jeans,4,49.25,197.0,21.03,41.43,Cash,Completed,Corporate,Feb,2024,24
ORD0105,2024-01-12,CUST481,Customer 173,North,Furniture,Chair,10,16.52,165.2,24.22,40.01,Credit Card,Completed,Wholesale,Jan,2024,12
ORD0106,2024-01-27,CUST229,Customer 154,East,Clothing,Jacket,1,121.76,121.76,9.07,11.04,Cash,Pending,Corporate,Jan,2024,27
ORD0107,2024-01-04,CUST324,Customer 159,East,Furniture,Bed,5,89.84,449.2,17.8,79.96,PayPal,Pending,Corporate,Jan,2024,4
ORD0108,2024-01-13,CUST265,Customer 187,East,Clothing,Jeans,2,100.35,200.7,14.95,30.0,Cash,Completed,Retail,Jan,2024,13
ORD0109,2024-02-08,CUST175,Customer 2,West,Electronics,Laptop,10,13.96,139.6,8.5,11.87,PayPal,Pending,Corporate,Feb,2024,8
ORD0110,2024-01-31,CUST603,Customer 118,West,Electronics,Smartphone,1,431.09,431.09,13.02,56.13,Credit Card,Canceled,Wholesale,Jan,2024,31
ORD0111,2024-01-19,CUST104,Customer 124,East,Groceries,Eggs,6,285.24,1711.44,8.88,151.98,Cash,Canceled,Wholesale,Jan,2024,19
ORD0112,2024-02-18,CUST434,Customer 49,South,Groceries,Eggs,5,91.17,455.85,7.04,32.09,Bank Transfer,Canceled,Retail,Feb,2024,18
ORD0113,2024-01-08,CUST609,Customer 23,South,Clothing,Jeans,8,52.93,423.44,24.5,103.74,Credit Card,Canceled,Wholesale,Jan,2024,8
ORD0114,2024-02-18,CUST117,Customer 154,East,Electronics,Laptop,8,76.27,610.16,7.36,44.91,Cash,Canceled,Corporate,Feb,2024,18
ORD0115,2024-02-08,CUST803,Customer 21,West,Furniture,Chair,8,425.3,3402.4,20.24,688.65,PayPal,Canceled,Wholesale,Feb,2024,8
ORD0116,2024-02-28,CUST543,Customer 13,East,Electronics,Laptop,10,465.78,4657.8,9.72,452.74,Cash,Completed,Corporate,Feb,2024,28
ORD0117,2024-01-12,CUST121,Customer 96,North,Electronics,Headphones,4,321.91,1287.64,8.09,104.17,PayPal,Canceled,Corporate,Jan,2024,12
ORD0118,2024-02-14,CUST928,Customer 11,West,Clothing,Shirt,8,129.63,1037.04,21.72,225.25,PayPal,Pending,Corporate,Feb,2024,14
ORD0119,2024-01-15,CUST216,Customer 156,South,Clothing,Shirt,5,349.05,1745.25,24.79,432.65,PayPal,Pending,Corporate,Jan,2024,15
ORD0120,2024-01-21,CUST710,Customer 76,North,Electronics,Laptop,7,445.47,3118.29,22.65,706.29,PayPal,Completed,Wholesale,Jan,2024,21
ORD0121,2024-02-17,CUST988,Customer 73,South,Clothing,Jeans,9,57.71,519.39,26.97,140.08,Cash,Pending,Retail,Feb,2024,17
ORD0122,2024-02-02,CUST866,Customer 154,North,Electronics,Laptop,1,27.82,27.82,12.14,3.38,Bank Transfer,Pending,Corporate,Feb,2024,2
ORD0123,2024-02-25,CUST840,Customer 146,North,Groceries,Milk,4,95.88,383.52,11.73,44.99,PayPal,Pending,Retail,Feb,2024,25
ORD0124,2024-01-05,CUST391,Customer 161,West,Electronics,Headphones,6,23.78,142.68,10.93,15.59,PayPal,Canceled,Retail,Jan,2024,5
ORD0125,2024-02-11,CUST583,Customer 118,East,Furniture,Table,9,126.49,1138.41,12.58,143.21,Bank Transfer,Completed,Retail,Feb,2024,11
ORD0126,2024-01-13,CUST809,Customer 181,North,Furniture,Chair,2,324.08,648.16,19.09,123.73,Bank Transfer,Canceled,Corporate,Jan,2024,13
ORD0127,2024-01-19,CUST480,Customer 104,South,Electronics,Headphones,4,310.68,1242.72,16.35,203.18,Bank Transfer,Completed,Corporate,Jan,2024,19
ORD0128,2024-02-18,CUST968,Customer 161,West,Clothing,Shirt,1,389.34,389.34,25.11,97.76,Bank Transfer,Canceled,Retail,Feb,2024,18
ORD0129,2024-02-28,CUST115,Customer 183,South,Furniture,Chair,4,115.38,461.52,10.58,48.83,PayPal,Pending,Corporate,Feb,2024,28
ORD0130,2024-02-27,CUST242,Customer 18,North,Clothing,Shirt,2,273.17,546.34,14.03,76.65,Credit Card,Canceled,Retail,Feb,2024,27
ORD0131,2024-02-10,CUST861,Customer 164,North,Groceries,Cereal,5,169.48,847.4,20.7,175.41,Credit Card,Canceled,Retail,Feb,2024,10
ORD0132,2024-02-15,CUST808,Customer 153,North,Electronics,Tablet,1,474.27,474.27,21.4,101.49,Bank Transfer,Pending,Corporate,Feb,2024,15
ORD0133,2024-01-30,CUST193,Customer 59,South,Clothing,Shirt,5,15.25,76.25,14.87,11.34,Credit Card,Pending,Wholesale,Jan,2024,30
ORD0134,2024-02-20,CUST545,Customer 41,South,Clothing,Sweater,2,219.7,439.4,12.43,54.62,Credit Card,Completed,Corporate,Feb,2024,20
ORD0135,2024-01-03,CUST417,Customer 187,North,Electronics,Smartphone,5,117.03,585.15,22.74,133.06,PayPal,Canceled,Corporate,Jan,2024,3
ORD0136,2024-01-26,CUST239,Customer 105,West,Electronics,Smartphone,8,487.4,3899.2,17.58,685.48,Bank Transfer,Completed,Wholesale,Jan,2024,26
ORD0137,2024-02-01,CUST429,Customer 155,West,Furniture,Sofa,4,464.21,1856.84,14.13,262.37,Credit Card,Completed,Retail,Feb,2024,1
ORD0138,2024-02-03,CUST746,Customer 95,North,Clothing,Shirt,6,430.37,2582.22,7.15,184.63,PayPal,Completed,Corporate,Feb,2024,3
ORD0139,2024-01-09,CUST734,Customer 119,East,Clothing,Sweater,4,333.35,1333.4,15.77,210.28,Credit Card,Completed,Wholesale,Jan,2024,9
ORD0140,2024-01-05,CUST536,Customer 58,North,Clothing,Sweater,5,117.8,589.0,21.58,127.11,PayPal,Pending,Wholesale,Jan,2024,5
ORD0141,2024-01-21,CUST478,Customer 13,East,Furniture,Table,1,270.54,270.54,29.28,79.21,PayPal,Pending,Wholesale,Jan,2024,21
ORD0142,2024-02-29,CUST384,Customer 8,East,Furniture,Chair,9,436.79,3931.11,11.25,442.25,Cash,Canceled,Wholesale,Feb,2024,29
ORD0143,2024-02-21,CUST325,Customer 128,East,Furniture,Chair,9,452.87,4075.83,6.33,258.0,PayPal,Canceled,Corporate,Feb,2024,21
ORD0144,2024-02-21,CUST603,Customer 32,South,Furniture,Bed,8,412.81,3302.48,14.65,483.81,PayPal,Canceled,Wholesale,Feb,2024,21
ORD0145,2024-02-12,CUST773,Customer 49,North,Clothing,Shirt,4,432.73,1730.92,6.64,114.93,Credit Card,Completed,Wholesale,Feb,2024,12
ORD0146,2024-02-23,CUST774,Customer 187,West,Furniture,Bed,1,377.97,377.97,24.28,91.77,Credit Card,Pending,Corporate,Feb,2024,23
ORD0147,2024-01-14,CUST735,Customer 174,East,Groceries,Eggs,2,435.27,870.54,15.91,138.5,Credit Card,Completed,Corporate,Jan,2024,14
ORD0148,2024-02-29,CUST504,Customer 116,West,Clothing,Jacket,7,281.87,1973.09,24.5,483.41,Credit Card,Canceled,Retail,Feb,2024,29
ORD0149,2024-02-22,CUST407,Customer 82,West,Clothing,Jacket,8,164.65,1317.2,13.49,177.69,Cash,Completed,Retail,Feb,2024,22
